X         ,Y         ,Z       ,ID 
  -0.17449083   0.10102179   0.30699663   0.81117411 
  -0.18021124   0.10450242   0.30699667   0.81775033 
  -0.18494331   0.10823497   0.30699671   0.82080770 
  -0.18892206   0.11215953   0.30699674   0.82226639 
  -0.19228194   0.11624185   0.30699676   0.82294244 
  -0.17214827   0.09986723   0.30566972   0.14303000 
  -0.16078393   0.09611604   0.30566988   0.14808662 
  -0.15224093   0.09506398   0.30567001   0.14985749 
  -0.14510803   0.09526053   0.30567012   0.15131324 
  -0.13883071   0.09624855   0.30567022   0.15304755 
  -0.13310098   0.09785515   0.30567032   0.15530128 
  -0.12770197   0.10004673   0.30567041   0.15822053 
  -0.12243335   0.10291323   0.30567051   0.16182908 
  -0.15732928   0.09551874   0.30566314   0.74476953 
  -0.16730574   0.09791451   0.30566323   0.79546746 
  -0.17449083   0.10102179   0.30566329   0.81117411 
  -0.18021124   0.10450242   0.30566334   0.81775033 
  -0.18494331   0.10823497   0.30566338   0.82080770 
  -0.18892206   0.11215953   0.30566341   0.82226639 
  -0.19228194   0.11624185   0.30566343   0.82294244 
  -0.17214827   0.09986723   0.30433639   0.14303000 
  -0.16078393   0.09611604   0.30433655   0.14808662 
  -0.15224093   0.09506398   0.30433668   0.14985749 
  -0.14510803   0.09526053   0.30433679   0.15131324 
  -0.13883071   0.09624855   0.30433689   0.15304755 
  -0.13310098   0.09785515   0.30433698   0.15530128 
  -0.12770197   0.10004674   0.30433708   0.15822053 
  -0.12243335   0.10291323   0.30433717   0.16182908 
  -0.15732928   0.09551874   0.30432981   0.74476953 
  -0.16730574   0.09791451   0.30432990   0.79546746 
  -0.17449083   0.10102180   0.30432996   0.81117411 
  -0.18021124   0.10450242   0.30433001   0.81775033 
  -0.18494331   0.10823497   0.30433004   0.82080770 
  -0.18892206   0.11215953   0.30433007   0.82226639 
  -0.19228194   0.11624185   0.30433010   0.82294244 
  -0.17214827   0.09986723   0.30300306   0.14303000 
  -0.16078393   0.09611604   0.30300322   0.14808662 
  -0.15224093   0.09506398   0.30300334   0.14985749 
